Rx: 1.24625, Ry: 12.7947, Rz: -1.75405, x: 10.2852, y: 32.4814, z: 1138.02
Rx: 1.22355, Ry: 12.8851, Rz: -2.31224, x: 9.31216, y: 32.0019, z: 1138.32
Rx: 1.37662, Ry: 12.7642, Rz: -2.35115, x: 10.7732, y: 32.9699, z: 1138.05
Rx: 1.37995, Ry: 12.991, Rz: -1.78795, x: 9.79852, y: 31.9972, z: 1138.15
Rx: 1.29805, Ry: 12.757, Rz: -2.32985, x: 9.79983, y: 32.4892, z: 1138.3
Rx: 1.31937, Ry: 12.7221, Rz: -1.77193, x: 10.7731, y: 32.9695, z: 1138.04
Rx: 1.29988, Ry: 12.6302, Rz: -2.3282, x: 10.776, y: 32.9786, z: 1138.35
Rx: 1.25446, Ry: 12.6467, Rz: -1.74922, x: 10.2871, y: 32.4875, z: 1138.24
Rx: 1.41278, Ry: 12.6711, Rz: -1.78419, x: 10.774, y: 32.485, z: 1138.15
Rx: 1.33766, Ry: 12.7504, Rz: -1.77235, x: 10.286, y: 32.4841, z: 1138.12
Rx: 1.31073, Ry: 12.7635, Rz: -1.76314, x: 9.79714, y: 31.9927, z: 1137.99
Rx: 1.28938, Ry: 12.8381, Rz: -2.33005, x: 9.79889, y: 32.4861, z: 1138.19
Rx: 1.41247, Ry: 12.5626, Rz: -2.34986, x: 10.7749, y: 32.9752, z: 1138.24
Rx: 1.14293, Ry: 12.8169, Rz: -2.31375, x: 10.2885, y: 32.492, z: 1138.4
Rx: 1.35218, Ry: 12.7425, Rz: -2.33284, x: 10.7743, y: 33.4609, z: 1138.16
Rx: 1.36035, Ry: 12.6694, Rz: -2.3384, x: 9.79948, y: 32.488, z: 1138.26
Rx: 1.32581, Ry: 12.6179, Rz: -2.33336, x: 10.7727, y: 32.9684, z: 1138
Rx: 1.284, Ry: 12.5349, Rz: -2.32053, x: 10.7738, y: 32.9717, z: 1138.12
Rx: 1.35926, Ry: 12.6983, Rz: -2.34331, x: 10.774, y: 32.9725, z: 1138.14
Rx: 1.28172, Ry: 12.7013, Rz: -1.75771, x: 10.2865, y: 32.4856, z: 1138.17
Rx: 1.3035, Ry: 12.7035, Rz: -2.34464, x: 10.2865, y: 32.4856, z: 1138.17
Rx: 1.20971, Ry: 12.6882, Rz: -2.32325, x: 10.2876, y: 32.4892, z: 1138.3
Rx: 1.28464, Ry: 12.725, Rz: -1.75943, x: 10.2858, y: 32.4833, z: 1138.09
Rx: 1.33384, Ry: 12.7343, Rz: -1.77076, x: 10.2859, y: 32.4837, z: 1138.11
Rx: 1.25161, Ry: 12.73, Rz: -1.75234, x: 10.2882, y: 32.491, z: 1138.36
Rx: 1.29478, Ry: 12.7424, Rz: -1.76247, x: 10.2863, y: 32.4851, z: 1138.15
Rx: 1.47351, Ry: 12.6174, Rz: -1.79496, x: 10.7749, y: 32.4874, z: 1138.24
Rx: 1.40792, Ry: 12.7102, Rz: -1.78497, x: 10.775, y: 32.4879, z: 1138.25
Rx: 1.33775, Ry: 12.7729, Rz: -2.35527, x: 10.287, y: 32.4871, z: 1138.22
Rx: 1.31753, Ry: 12.7268, Rz: -1.7668, x: 10.2872, y: 32.4877, z: 1138.25
Rx: 1.31135, Ry: 12.6848, Rz: -1.7635, x: 10.2886, y: 32.4923, z: 1138.41
Rx: 1.18077, Ry: 12.7359, Rz: -2.30291, x: 9.80321, y: 32.5004, z: 1138.69
Rx: 1.36391, Ry: 12.6352, Rz: -1.77279, x: 10.2853, y: 32.4817, z: 1138.04
Rx: 1.22593, Ry: 12.8548, Rz: -2.32168, x: 10.2885, y: 32.9798, z: 1138.39
Rx: 1.21581, Ry: 12.8335, Rz: -2.31851, x: 10.2901, y: 32.9846, z: 1138.56
