x: 0.974692, y: -0.0257739, z: -0.22206
x: 0.974024, y: -0.0355767, z: -0.223633
x: 0.974466, y: -0.0357081, z: -0.221678
x: 0.973912, y: -0.0257676, z: -0.225459
x: 0.974484, y: -0.0356211, z: -0.221614
x: 0.974963, y: -0.0258311, z: -0.220859
x: 0.974995, y: -0.0356558, z: -0.219347
x: 0.975264, y: -0.025713, z: -0.219543
x: 0.975172, y: -0.0257199, z: -0.219948
x: 0.974854, y: -0.0257567, z: -0.221349
x: 0.97478, y: -0.0256782, z: -0.221684
x: 0.974195, y: -0.0356488, z: -0.222877
x: 0.975238, y: -0.0356315, z: -0.21827
x: 0.974287, y: -0.0359408, z: -0.222423
x: 0.974561, y: -0.0354907, z: -0.221294
x: 0.974839, y: -0.0355868, z: -0.220052
x: 0.975038, y: -0.0356514, z: -0.219156
x: 0.975362, y: -0.035619, z: -0.217716
x: 0.974739, y: -0.0356812, z: -0.220479
x: 0.975051, y: -0.0257358, z: -0.220486
x: 0.974704, y: -0.0359008, z: -0.220598
x: 0.974777, y: -0.0358937, z: -0.220277
x: 0.974958, y: -0.0257456, z: -0.220892
x: 0.974917, y: -0.0257501, z: -0.221074
x: 0.974943, y: -0.0257473, z: -0.220962
x: 0.97489, y: -0.0257529, z: -0.221192
x: 0.975372, y: -0.0256985, z: -0.219064
x: 0.975022, y: -0.025736, z: -0.220611
x: 0.97443, y: -0.0359271, z: -0.221801
x: 0.974948, y: -0.0257468, z: -0.220938
x: 0.975111, y: -0.0257294, z: -0.220219
x: 0.974582, y: -0.0356116, z: -0.221181
x: 0.975296, y: -0.0257096, z: -0.219401
x: 0.974135, y: -0.0357425, z: -0.223125
x: 0.974219, y: -0.0357342, z: -0.222755
x: 0.974972, y: -0.0257442, z: -0.220832
x: 0.974276, y: -0.0357287, z: -0.222508
x: 0.975252, y: -0.0257143, z: -0.219598
x: 0.974957, y: -0.0257458, z: -0.220897
x: 0.974986, y: -0.0257427, z: -0.220771
x: 0.974945, y: -0.025747, z: -0.22095
x: 0.975486, y: -0.0256891, z: -0.218556
x: 0.975149, y: -0.0257253, z: -0.220053
x: 0.975338, y: -0.0259053, z: -0.21919
x: 0.974927, y: -0.025749, z: -0.221029
x: 0.975535, y: -0.0256809, z: -0.218337
x: 0.975371, y: -0.0256987, z: -0.219069
x: 0.974231, y: -0.035733, z: -0.222705
x: 0.975551, y: -0.0256792, z: -0.218267
x: 0.975129, y: -0.0257274, z: -0.220138
x: 0.975214, y: -0.035937, z: -0.218328
x: 0.975385, y: -0.0256972, z: -0.219008
x: 0.975142, y: -0.025726, z: -0.220081
x: 0.97433, y: -0.0357234, z: -0.222273
x: 0.975186, y: -0.0257213, z: -0.219887
