Rx: 1.1614, Ry: 12.7188, Rz: -2.29645, x: 10.2842, y: 32.4784, z: 1137.92
Rx: 1.16726, Ry: 12.7185, Rz: -2.29773, x: 10.2841, y: 32.4781, z: 1137.91
Rx: 1.18793, Ry: 12.7332, Rz: -2.30292, x: 10.2842, y: 32.4785, z: 1137.92
Rx: 1.15804, Ry: 12.6732, Rz: -2.29382, x: 10.2841, y: 32.4781, z: 1137.91
Rx: 1.22752, Ry: 12.6457, Rz: -2.30799, x: 10.2839, y: 32.4774, z: 1137.89
Rx: 1.20208, Ry: 12.692, Rz: -2.30433, x: 10.2844, y: 32.4788, z: 1137.94
Rx: 1.20289, Ry: 12.6769, Rz: -2.30387, x: 10.2841, y: 32.4781, z: 1137.91
Rx: 1.16695, Ry: 12.691, Rz: -2.29652, x: 10.2843, y: 32.4786, z: 1137.93
Rx: 1.20158, Ry: 12.6939, Rz: -2.3043, x: 10.2845, y: 32.4794, z: 1137.95
Rx: 1.19569, Ry: 12.6629, Rz: -2.3017, x: 10.2845, y: 32.4792, z: 1137.95
Rx: 1.20503, Ry: 12.6737, Rz: -2.30421, x: 10.2844, y: 32.4788, z: 1137.93
Rx: 1.20741, Ry: 12.6176, Rz: -2.30238, x: 10.284, y: 32.4777, z: 1137.9
Rx: 1.20705, Ry: 12.6977, Rz: -2.30566, x: 10.2843, y: 32.4785, z: 1137.93
Rx: 1.24395, Ry: 12.6212, Rz: -2.31056, x: 10.2839, y: 32.4773, z: 1137.88
Rx: 1.2356, Ry: 12.6918, Rz: -2.31173, x: 10.2841, y: 32.4781, z: 1137.91
Rx: 1.22845, Ry: 12.6444, Rz: -2.30814, x: 10.284, y: 32.4776, z: 1137.89
Rx: 1.21627, Ry: 12.6473, Rz: -2.30558, x: 10.2838, y: 32.477, z: 1137.87
Rx: 1.28071, Ry: 12.6029, Rz: -2.31785, x: 10.2837, y: 32.4768, z: 1137.87
Rx: 1.22957, Ry: 12.5619, Rz: -2.30489, x: 10.2838, y: 32.4769, z: 1137.87
Rx: 1.23024, Ry: 12.6051, Rz: -2.30686, x: 10.2839, y: 32.4773, z: 1137.88
Rx: 1.27494, Ry: 12.5715, Rz: -2.31522, x: 10.2838, y: 32.4771, z: 1137.87
Rx: 1.25651, Ry: 12.5281, Rz: -2.30933, x: 10.2836, y: 32.4765, z: 1137.85
Rx: 1.24271, Ry: 12.5303, Rz: -2.30641, x: 10.2837, y: 32.4767, z: 1137.86
Rx: 1.27063, Ry: 12.4652, Rz: -2.3097, x: 10.2834, y: 32.4757, z: 1137.83
Rx: 1.19651, Ry: 12.5112, Rz: -2.29553, x: 10.2835, y: 32.476, z: 1137.84
Rx: 1.25932, Ry: 12.5098, Rz: -2.30916, x: 10.2836, y: 32.4765, z: 1137.85
Rx: 1.25558, Ry: 12.5197, Rz: -2.30877, x: 10.2837, y: 32.4767, z: 1137.86
Rx: 1.2657, Ry: 12.501, Rz: -2.31017, x: 10.2833, y: 32.4755, z: 1137.82
Rx: 1.22362, Ry: 12.5191, Rz: -2.30177, x: 10.2836, y: 32.4766, z: 1137.86
Rx: 1.25163, Ry: 12.542, Rz: -2.30886, x: 10.284, y: 32.4775, z: 1137.89
Rx: 1.29266, Ry: 12.4515, Rz: -2.31388, x: 10.2836, y: 32.4764, z: 1137.85
Rx: 1.30369, Ry: 12.4791, Rz: -2.31748, x: 10.2837, y: 32.4768, z: 1137.87
Rx: 1.2533, Ry: 12.5306, Rz: -2.30874, x: 10.2839, y: 32.4773, z: 1137.88
Rx: 1.27153, Ry: 12.5586, Rz: -2.31392, x: 10.2838, y: 32.4772, z: 1137.88
Rx: 1.27918, Ry: 12.54, Rz: -2.31479, x: 10.284, y: 32.4775, z: 1137.89
Rx: 1.19422, Ry: 12.6141, Rz: -2.29933, x: 10.2843, y: 32.4785, z: 1137.93
Rx: 1.23611, Ry: 12.5749, Rz: -2.30687, x: 10.2842, y: 32.4782, z: 1137.91
Rx: 1.21565, Ry: 12.596, Rz: -2.30328, x: 10.2844, y: 32.4788, z: 1137.94
Rx: 1.19571, Ry: 12.5716, Rz: -2.29789, x: 10.2844, y: 32.4789, z: 1137.94
Rx: 1.21487, Ry: 12.6115, Rz: -2.30376, x: 10.2844, y: 32.4789, z: 1137.94
Rx: 1.20667, Ry: 12.6246, Rz: -2.30251, x: 10.2846, y: 32.4797, z: 1137.97
Rx: 1.26102, Ry: 12.6471, Rz: -2.31542, x: 10.2849, y: 32.4804, z: 1137.99
Rx: 1.22639, Ry: 12.6275, Rz: -2.30696, x: 10.2848, y: 32.4803, z: 1137.99
Rx: 1.19577, Ry: 12.5803, Rz: -2.29826, x: 10.2847, y: 32.4798, z: 1137.97
Rx: 1.25366, Ry: 12.5437, Rz: -2.30938, x: 10.2846, y: 32.4797, z: 1137.97
Rx: 1.22137, Ry: 12.5728, Rz: -2.30356, x: 10.2848, y: 32.4802, z: 1137.98
Rx: 1.24762, Ry: 12.5399, Rz: -2.30789, x: 10.2847, y: 32.4798, z: 1137.97
Rx: 1.25996, Ry: 12.6441, Rz: -1.75032, x: 10.2847, y: 32.4799, z: 1137.97
Rx: 1.23856, Ry: 12.5864, Rz: -2.3079, x: 10.2847, y: 32.4799, z: 1137.97
Rx: 1.26564, Ry: 12.6057, Rz: -1.74983, x: 10.2847, y: 32.48, z: 1137.98
Rx: 1.21252, Ry: 12.4813, Rz: -2.29775, x: 10.2844, y: 32.4789, z: 1137.94
Rx: 1.26242, Ry: 12.5242, Rz: -2.31045, x: 10.2847, y: 32.4798, z: 1137.97
Rx: 1.25286, Ry: 12.5657, Rz: -2.31014, x: 10.2847, y: 32.48, z: 1137.98
Rx: 1.27989, Ry: 12.6141, Rz: -1.75334, x: 10.2846, y: 32.4797, z: 1137.97
Rx: 1.24784, Ry: 12.5185, Rz: -2.32444, x: 10.2849, y: 32.4804, z: 1137.99
Rx: 1.28194, Ry: 12.6254, Rz: -1.75431, x: 10.2847, y: 32.4798, z: 1137.97
Rx: 1.26989, Ry: 12.6449, Rz: -1.75254, x: 10.2846, y: 32.4795, z: 1137.96
Rx: 1.2574, Ry: 12.4724, Rz: -2.32454, x: 10.2842, y: 32.4782, z: 1137.91
Rx: 1.22605, Ry: 12.6405, Rz: -1.74269, x: 10.2841, y: 32.4781, z: 1137.91
Rx: 1.26792, Ry: 12.5044, Rz: -2.32821, x: 10.2842, y: 32.4783, z: 1137.92
Rx: 1.26881, Ry: 12.6526, Rz: -1.75265, x: 10.2842, y: 32.4783, z: 1137.92
Rx: 1.27111, Ry: 12.6768, Rz: -1.75425, x: 10.2843, y: 32.4785, z: 1137.93
Rx: 1.29492, Ry: 12.6914, Rz: -1.76017, x: 10.2844, y: 32.4788, z: 1137.94
