Rx: 1.28474, Ry: 12.6679, Rz: -1.75596, x: 10.284, y: 32.4777, z: 1137.9
Rx: 1.24973, Ry: 12.6839, Rz: -1.74897, x: 10.2842, y: 32.4782, z: 1137.91
Rx: 1.25163, Ry: 12.7077, Rz: -1.75046, x: 10.2841, y: 32.4781, z: 1137.91
Rx: 1.27964, Ry: 12.7466, Rz: -1.75841, x: 10.2842, y: 32.4782, z: 1137.91
Rx: 1.2654, Ry: 12.7442, Rz: -1.75515, x: 10.284, y: 32.4778, z: 1137.9
Rx: 1.28089, Ry: 12.6816, Rz: -1.75575, x: 10.2839, y: 32.4774, z: 1137.89
Rx: 1.25096, Ry: 12.7044, Rz: -1.75017, x: 10.284, y: 32.4778, z: 1137.9
Rx: 1.26233, Ry: 12.6971, Rz: -1.75235, x: 10.284, y: 32.4777, z: 1137.9
Rx: 1.26671, Ry: 12.6993, Rz: -1.75342, x: 10.2839, y: 32.4774, z: 1137.89
Rx: 1.25586, Ry: 12.6734, Rz: -1.74985, x: 10.2839, y: 32.4775, z: 1137.89
Rx: 1.22934, Ry: 12.6724, Rz: -1.74396, x: 10.2839, y: 32.4773, z: 1137.88
Rx: 1.25826, Ry: 12.6534, Rz: -1.74948, x: 10.2835, y: 32.4763, z: 1137.85
Rx: 1.26291, Ry: 12.6513, Rz: -1.75041, x: 10.2837, y: 32.4768, z: 1137.86
Rx: 1.25509, Ry: 12.667, Rz: -1.7494, x: 10.2838, y: 32.477, z: 1137.87
Rx: 1.25466, Ry: 12.6721, Rz: -1.74953, x: 10.284, y: 32.4777, z: 1137.9
Rx: 1.28559, Ry: 12.6542, Rz: -1.75553, x: 10.2841, y: 32.4779, z: 1137.9
Rx: 1.27903, Ry: 12.7089, Rz: -1.75657, x: 10.284, y: 32.4777, z: 1137.9
Rx: 1.27852, Ry: 12.7057, Rz: -1.75632, x: 10.2837, y: 32.4768, z: 1137.87
Rx: 1.24604, Ry: 12.6745, Rz: -1.74774, x: 10.2836, y: 32.4765, z: 1137.85
Rx: 1.30207, Ry: 12.621, Rz: -1.75765, x: 10.2833, y: 32.4754, z: 1137.82
Rx: 1.26218, Ry: 12.6687, Rz: -1.75103, x: 10.2836, y: 32.4764, z: 1137.85
Rx: 1.24472, Ry: 12.6599, Rz: -1.74679, x: 10.2835, y: 32.4761, z: 1137.84
Rx: 1.27442, Ry: 12.6666, Rz: -1.75364, x: 10.2837, y: 32.4767, z: 1137.86
Rx: 1.23974, Ry: 12.684, Rz: -1.74677, x: 10.2838, y: 32.4769, z: 1137.87
Rx: 1.26604, Ry: 12.6726, Rz: -1.75206, x: 10.2834, y: 32.4759, z: 1137.83
Rx: 1.24947, Ry: 12.7194, Rz: -1.75051, x: 10.2836, y: 32.4764, z: 1137.85
Rx: 1.28351, Ry: 12.6042, Rz: -1.7528, x: 10.2831, y: 32.4749, z: 1137.8
Rx: 1.26178, Ry: 12.6052, Rz: -1.74808, x: 10.2831, y: 32.4749, z: 1137.8
Rx: 1.25068, Ry: 12.617, Rz: -1.74618, x: 10.2833, y: 32.4754, z: 1137.82
Rx: 1.25503, Ry: 12.6316, Rz: -1.74779, x: 10.2831, y: 32.4748, z: 1137.79
Rx: 1.24839, Ry: 12.6445, Rz: -1.74691, x: 10.2836, y: 32.4763, z: 1137.85
Rx: 1.25342, Ry: 12.6409, Rz: -1.74785, x: 10.2836, y: 32.4764, z: 1137.85
Rx: 1.25998, Ry: 12.717, Rz: -1.75273, x: 10.2837, y: 32.4767, z: 1137.86
Rx: 1.25542, Ry: 12.6724, Rz: -1.74971, x: 10.2836, y: 32.4765, z: 1137.86
Rx: 1.26919, Ry: 12.6594, Rz: -1.75216, x: 10.2835, y: 32.4762, z: 1137.84
Rx: 1.27505, Ry: 12.691, Rz: -1.75488, x: 10.2837, y: 32.4768, z: 1137.87
Rx: 1.25644, Ry: 12.7782, Rz: -1.75469, x: 10.2842, y: 32.4783, z: 1137.92
Rx: 1.27017, Ry: 12.7411, Rz: -1.75607, x: 10.284, y: 32.4778, z: 1137.9
Rx: 1.27108, Ry: 12.7337, Rz: -1.75594, x: 10.2841, y: 32.4779, z: 1137.9
Rx: 1.27036, Ry: 12.7339, Rz: -1.75578, x: 10.2842, y: 32.4782, z: 1137.91
Rx: 1.28355, Ry: 12.7068, Rz: -1.75747, x: 10.2839, y: 32.4773, z: 1137.88
Rx: 1.29565, Ry: 12.7085, Rz: -1.76023, x: 10.2836, y: 32.4764, z: 1137.85
Rx: 1.29228, Ry: 12.7105, Rz: -1.75958, x: 10.2836, y: 32.4765, z: 1137.85
Rx: 1.28962, Ry: 12.7033, Rz: -1.75866, x: 10.2837, y: 32.4767, z: 1137.86
Rx: 1.26321, Ry: 12.7066, Rz: -1.75297, x: 10.2839, y: 32.4775, z: 1137.89
Rx: 1.27713, Ry: 12.6754, Rz: -1.75463, x: 10.2837, y: 32.4767, z: 1137.86
Rx: 1.27814, Ry: 12.6937, Rz: -1.75569, x: 10.2837, y: 32.4766, z: 1137.86
Rx: 1.26597, Ry: 12.7434, Rz: -1.75524, x: 10.2838, y: 32.4772, z: 1137.88
Rx: 1.27623, Ry: 12.7464, Rz: -1.75765, x: 10.2838, y: 32.4771, z: 1137.88
Rx: 1.27046, Ry: 12.736, Rz: -1.7559, x: 10.2837, y: 32.4768, z: 1137.86
Rx: 1.26413, Ry: 12.7718, Rz: -1.75611, x: 10.2841, y: 32.4779, z: 1137.9
Rx: 1.27262, Ry: 12.7415, Rz: -1.75663, x: 10.284, y: 32.4776, z: 1137.89
