x: 0.975199, y: -0.0257199, z: -0.21983
x: 0.975141, y: -0.0257261, z: -0.220086
x: 0.975049, y: -0.025736, z: -0.220492
x: 0.974896, y: -0.0257523, z: -0.221168
x: 0.974907, y: -0.0257512, z: -0.22112
x: 0.975147, y: -0.0257256, z: -0.220062
x: 0.975062, y: -0.0257346, z: -0.220436
x: 0.975089, y: -0.0257317, z: -0.220317
x: 0.97508, y: -0.0257327, z: -0.220357
x: 0.975181, y: -0.0257219, z: -0.219911
x: 0.975188, y: -0.0257212, z: -0.21988
x: 0.975258, y: -0.0257136, z: -0.219571
x: 0.975265, y: -0.0257129, z: -0.219538
x: 0.975206, y: -0.0257192, z: -0.219801
x: 0.975186, y: -0.0257213, z: -0.219888
x: 0.975251, y: -0.0257143, z: -0.219599
x: 0.975042, y: -0.0257368, z: -0.220526
x: 0.975054, y: -0.0257355, z: -0.220471
x: 0.975178, y: -0.0257222, z: -0.219924
x: 0.975377, y: -0.0257009, z: -0.219041
x: 0.975198, y: -0.02572, z: -0.219834
x: 0.975234, y: -0.0257162, z: -0.219675
x: 0.975205, y: -0.0257193, z: -0.219803
x: 0.975142, y: -0.025726, z: -0.220082
x: 0.975183, y: -0.0257217, z: -0.219902
x: 0.975004, y: -0.0257408, z: -0.22069
x: 0.975443, y: -0.0256936, z: -0.218746
x: 0.975442, y: -0.0256938, z: -0.218751
x: 0.975398, y: -0.0256985, z: -0.218947
x: 0.975342, y: -0.0257046, z: -0.219198
x: 0.975293, y: -0.0257099, z: -0.219415
x: 0.975306, y: -0.0257084, z: -0.219356
x: 0.975012, y: -0.0257399, z: -0.220655
x: 0.975185, y: -0.0257215, z: -0.219893
x: 0.975233, y: -0.0257163, z: -0.219679
x: 0.975111, y: -0.0257294, z: -0.220219
x: 0.974776, y: -0.025765, z: -0.221694
x: 0.974918, y: -0.0257499, z: -0.221069
x: 0.974946, y: -0.0257469, z: -0.220944
x: 0.974946, y: -0.0257469, z: -0.220947
x: 0.975049, y: -0.0257359, z: -0.220492
x: 0.975041, y: -0.0257368, z: -0.220527
x: 0.975034, y: -0.0257376, z: -0.22056
x: 0.975062, y: -0.0257346, z: -0.220437
x: 0.975052, y: -0.0257356, z: -0.220479
x: 0.975171, y: -0.025723, z: -0.219954
x: 0.9751, y: -0.0257305, z: -0.220266
x: 0.974909, y: -0.0257509, z: -0.221107
x: 0.974897, y: -0.0257522, z: -0.221163
x: 0.974938, y: -0.0257479, z: -0.220983
x: 0.9748, y: -0.0257625, z: -0.221589
x: 0.974916, y: -0.0257502, z: -0.221078
