Rx: 1.40185, Ry: 12.6525, Rz: -1.78196, x: 10.2836, y: 32.4766, z: 1137.86
Rx: 1.43782, Ry: 12.6193, Rz: -1.78828, x: 10.2836, y: 32.4763, z: 1137.85
Rx: 1.37031, Ry: 12.616, Rz: -1.77239, x: 10.2835, y: 32.476, z: 1137.84
Rx: 1.38739, Ry: 12.6084, Rz: -1.77579, x: 10.2834, y: 32.4757, z: 1137.83
Rx: 1.33314, Ry: 12.6258, Rz: -1.76469, x: 10.2833, y: 32.4755, z: 1137.82
Rx: 1.34829, Ry: 12.6299, Rz: -1.76821, x: 10.2833, y: 32.4756, z: 1137.82
Rx: 1.31575, Ry: 12.6374, Rz: -1.7614, x: 10.2833, y: 32.4755, z: 1137.82
Rx: 1.38668, Ry: 12.5769, Rz: -1.77504, x: 10.2832, y: 32.475, z: 1137.8
Rx: 1.3261, Ry: 12.5838, Rz: -1.7612, x: 10.283, y: 32.4746, z: 1137.79
Rx: 1.29764, Ry: 12.6256, Rz: -1.75688, x: 10.2832, y: 32.4751, z: 1137.81
Rx: 1.30971, Ry: 12.6182, Rz: -1.75919, x: 10.2833, y: 32.4754, z: 1137.82
Rx: 1.31751, Ry: 12.6115, Rz: -1.7606, x: 10.2833, y: 32.4754, z: 1137.82
Rx: 1.32247, Ry: 12.6693, Rz: -1.76435, x: 10.2836, y: 32.4763, z: 1137.85
Rx: 1.32287, Ry: 12.6823, Rz: -1.76504, x: 10.2837, y: 32.4769, z: 1137.87
Rx: 1.32179, Ry: 12.6937, Rz: -1.76532, x: 10.2838, y: 32.477, z: 1137.87
Rx: 1.33388, Ry: 12.6776, Rz: -1.76725, x: 10.2837, y: 32.4769, z: 1137.87
Rx: 1.29352, Ry: 12.6687, Rz: -1.75795, x: 10.2838, y: 32.4769, z: 1137.87
Rx: 1.31061, Ry: 12.7069, Rz: -1.76346, x: 10.2838, y: 32.4772, z: 1137.88
Rx: 1.37314, Ry: 12.6654, Rz: -1.77534, x: 10.2837, y: 32.4768, z: 1137.86
Rx: 1.31967, Ry: 12.7356, Rz: -1.76678, x: 10.284, y: 32.4778, z: 1137.9
Rx: 1.32068, Ry: 12.7496, Rz: -1.76765, x: 10.2842, y: 32.4782, z: 1137.91
Rx: 1.35292, Ry: 12.7511, Rz: -1.77487, x: 10.2843, y: 32.4785, z: 1137.93
Rx: 1.4815, Ry: 12.7498, Rz: -1.80426, x: 10.2841, y: 32.4779, z: 1137.9
Rx: 1.31853, Ry: 12.8038, Rz: -1.76967, x: 10.2843, y: 32.4785, z: 1137.92
Rx: 1.3146, Ry: 12.8071, Rz: -1.76895, x: 10.2844, y: 32.4791, z: 1137.94
Rx: 1.31754, Ry: 12.781, Rz: -1.7684, x: 10.284, y: 32.4777, z: 1137.9
Rx: 1.30175, Ry: 12.7808, Rz: -1.76488, x: 10.2844, y: 32.4789, z: 1137.94
Rx: 1.3186, Ry: 12.7105, Rz: -1.7654, x: 10.2839, y: 32.4774, z: 1137.89
Rx: 1.33181, Ry: 12.712, Rz: -1.76839, x: 10.2839, y: 32.4774, z: 1137.89
Rx: 1.28418, Ry: 12.7537, Rz: -1.75975, x: 10.284, y: 32.4776, z: 1137.89
Rx: 1.28794, Ry: 12.7955, Rz: -1.76248, x: 10.284, y: 32.4777, z: 1137.9
Rx: 1.29618, Ry: 12.7257, Rz: -1.76113, x: 10.2838, y: 32.4771, z: 1137.88
Rx: 1.30906, Ry: 12.6339, Rz: -1.75977, x: 10.2833, y: 32.4755, z: 1137.82
Rx: 1.31608, Ry: 12.6297, Rz: -1.76112, x: 10.2833, y: 32.4756, z: 1137.82
Rx: 1.27684, Ry: 12.6881, Rz: -1.75514, x: 10.2835, y: 32.4761, z: 1137.84
Rx: 1.29669, Ry: 12.7595, Rz: -1.76278, x: 10.2838, y: 32.4771, z: 1137.87
Rx: 1.29651, Ry: 12.6947, Rz: -1.75979, x: 10.2835, y: 32.4762, z: 1137.84
Rx: 1.29909, Ry: 12.7263, Rz: -1.7618, x: 10.2836, y: 32.4763, z: 1137.85
Rx: 1.30209, Ry: 12.767, Rz: -1.76433, x: 10.2837, y: 32.4767, z: 1137.86
Rx: 1.30443, Ry: 12.6873, Rz: -1.7612, x: 10.2835, y: 32.4762, z: 1137.85
Rx: 1.27274, Ry: 12.721, Rz: -1.75573, x: 10.2833, y: 32.4755, z: 1137.82
Rx: 1.29556, Ry: 12.7141, Rz: -1.76046, x: 10.2835, y: 32.4761, z: 1137.84
Rx: 1.34631, Ry: 12.689, Rz: -1.77142, x: 10.2833, y: 32.4753, z: 1137.81
Rx: 1.30322, Ry: 12.7256, Rz: -1.76268, x: 10.2836, y: 32.4764, z: 1137.85
Rx: 1.28153, Ry: 12.6964, Rz: -1.75656, x: 10.2836, y: 32.4765, z: 1137.86
Rx: 1.28293, Ry: 12.7051, Rz: -1.75726, x: 10.2839, y: 32.4773, z: 1137.88
Rx: 1.37283, Ry: 12.6737, Rz: -1.77656, x: 10.2837, y: 32.4767, z: 1137.86
Rx: 1.29661, Ry: 12.7086, Rz: -1.76044, x: 10.2842, y: 32.4782, z: 1137.91
Rx: 1.31343, Ry: 12.6698, Rz: -1.76238, x: 10.2839, y: 32.4775, z: 1137.89
Rx: 1.29547, Ry: 12.6628, Rz: -1.7581, x: 10.2839, y: 32.4773, z: 1137.88
Rx: 1.30596, Ry: 12.6961, Rz: -1.76194, x: 10.284, y: 32.4775, z: 1137.89
Rx: 1.28552, Ry: 12.6839, Rz: -1.75687, x: 10.2842, y: 32.4783, z: 1137.92
