x: 0.975226, y: -0.0257171, z: -0.219713
x: 0.975349, y: -0.0257039, z: -0.219165
x: 0.975389, y: -0.0256995, z: -0.218989
x: 0.975416, y: -0.0256967, z: -0.218868
x: 0.975355, y: -0.0257032, z: -0.219138
x: 0.975338, y: -0.0257051, z: -0.219215
x: 0.975313, y: -0.0257077, z: -0.219326
x: 0.975517, y: -0.0256858, z: -0.218419
x: 0.975517, y: -0.0256858, z: -0.21842
x: 0.97536, y: -0.0257027, z: -0.219117
x: 0.975387, y: -0.0256998, z: -0.218998
x: 0.975412, y: -0.0256971, z: -0.218887
x: 0.975189, y: -0.025721, z: -0.219873
x: 0.975139, y: -0.0257263, z: -0.220094
x: 0.975095, y: -0.025731, z: -0.220288
x: 0.975156, y: -0.0257246, z: -0.22002
x: 0.975195, y: -0.0257205, z: -0.219849
x: 0.975046, y: -0.0257363, z: -0.220508
x: 0.975199, y: -0.02572, z: -0.219831
x: 0.974934, y: -0.0257482, z: -0.221
x: 0.974879, y: -0.025754, z: -0.22124
x: 0.97487, y: -0.025755, z: -0.22128
x: 0.974841, y: -0.0257582, z: -0.221409
x: 0.974669, y: -0.0257764, z: -0.22216
x: 0.974657, y: -0.0257777, z: -0.222214
x: 0.974758, y: -0.0257669, z: -0.221772
x: 0.974761, y: -0.0257666, z: -0.22176
x: 0.975031, y: -0.025738, z: -0.220573
x: 0.975024, y: -0.0257387, z: -0.220604
x: 0.974868, y: -0.0257553, z: -0.221291
x: 0.974705, y: -0.0257726, z: -0.222005
x: 0.974975, y: -0.0257439, z: -0.22082
x: 0.975327, y: -0.0257062, z: -0.219263
x: 0.975342, y: -0.0257045, z: -0.219196
x: 0.975122, y: -0.0257282, z: -0.220172
x: 0.974844, y: -0.0257578, z: -0.221396
x: 0.975094, y: -0.0257311, z: -0.220293
x: 0.974972, y: -0.0257442, z: -0.220832
x: 0.974814, y: -0.025761, z: -0.221525
x: 0.975122, y: -0.0257282, z: -0.220171
x: 0.974995, y: -0.0257417, z: -0.220729
x: 0.97502, y: -0.0257391, z: -0.220623
x: 0.975091, y: -0.0257315, z: -0.220309
x: 0.974974, y: -0.0257439, z: -0.220822
x: 0.975089, y: -0.0257317, z: -0.220315
x: 0.975056, y: -0.0257353, z: -0.220463
x: 0.975147, y: -0.0257255, z: -0.22006
x: 0.975041, y: -0.0257368, z: -0.22053
x: 0.975189, y: -0.0257211, z: -0.219877
x: 0.975218, y: -0.025718, z: -0.219749
x: 0.975088, y: -0.0257318, z: -0.22032
x: 0.975137, y: -0.0257266, z: -0.220104
